Pharmacy Name	Type	Phone	Address	Area/LGA	Verification Status	Live-Verified
Bjon & Tjon Pharmacy	Retail	0818 873 3508	Shop 23 POWA Shopping Complex, Sabo, Ikorodu	Ikorodu	Verified	Verified from published directory
Charisland Pharmacy	Retail	0802 851 6843	47 Ijede Road, Omitoro, Ijede, Ikorodu	Ikorodu	Verified	Verified from published directory
Constanstar Pharmacy	Retail	0706 443 7405	1 Rabaka Street, Owode, Ikorodu	Ikorodu	Verified	Verified from published directory
De-Lawrex Pharmacy	Retail	0807 875 2897	50 Obafemi Awolowo Way, Igbogbo, Ikorodu	Ikorodu	Verified	Verified from published directory
Delkem Pharmacy	Retail	0803 935 9078	1 Oduyero Street, Odonguyan, Ikorodu	Ikorodu	Verified	Verified from published directory
Drugsporte Pharmacy	Retail	0703 943 9403	1 Alegha Street, Off Owode Ibeshe Road, Ikorodu	Ikorodu	Verified	Verified from published directory
Drugstore.ng	Online/Retail	0907 977 2482	4/6 Ikorodu-Epe Rd, opposite Sabo Market, Ikorodu	Ikorodu	Verified	Verified from published directory
Drugstore.ng Ikorodu	Online/Retail	0907 977 2482	4/6 Ikorodu-Epe Road, opposite Sabo Market, Ikorodu	Ikorodu	Verified	Verified from published directory
Ejide Pharmacy	Retail	0802 306 3705	1 Obafemi Taiwo, Off Igbogbo Road, Ikorodu	Ikorodu	Verified	Verified from published directory
Empathy Pharmacy	Retail	0806 453 7095	Agura-Gberigbe, Ikorodu	Ikorodu	Verified	Verified from published directory
Fizanac Pharmacy	Retail	0812 901 8448	86 Bayeku Road, Igbogbo, Ikorodu	Ikorodu	Verified	Verified from published directory
Giottos Pharmacy (Agric)	Retail	0806 904 5133	155 Lagos Road, Agric Bus stop, Ikorodu	Ikorodu	Verified	Verified from published directory
Giottos Pharmacy (Irawo)	Retail	0808 939 8861	Shop 1-3 Success Plaza, Irawo, Ikorodu	Ikorodu	Verified	Verified from published directory
Good Care Pharmacy	Retail	0806 080 0062	111 Ishawo Road, Agric Bus stop, Ikorodu	Ikorodu	Verified	Verified from published directory
Govatec Pharmacy	Retail	Not listed	Isawo Road, RSA Bus Stop, Abule Cole, Agric, Owutu, Ikorodu	Ikorodu	Needs phone verification	
Goxatek Pharmacy	Retail	0708 463 7410	16 Gberighe Road, Off Ijede Road, Ikorodu	Ikorodu	Verified	Verified from published directory
Hugies Pharmacy Ltd	Retail	0815 391 1538	39 Bola Tinubu Road, Igbogbo, Ikorodu	Ikorodu	Verified	Verified from published directory
Iosba Pharmacy	Retail	0909 826 5715	26 Odegate Street, Ikorodu	Ikorodu	Verified	Verified from published directory
J & S Gold Pharmacy	Retail	Not listed	21 Shagamu Road, Ikorodu / 6 Isele Street, Ikorodu	Ikorodu	Needs phone verification	
J-Goal Pharmacy	Retail	Not listed	23 Ayodele Ayeni Street, Eyita, Ikorodu	Ikorodu	Needs phone verification	
Ladamos Pharmacy (Ikorodu)	Retail	0802 319 0162	38 Ladega Street, Ikorodu	Ikorodu	Verified	Verified from published directory
Lifegate Pharmacy	Retail	0803 389 2682	10 Etunrennen Road, Ikorodu	Ikorodu	Verified	Verified from published directory
Lugz Pharmacy	Retail	0809 395 5360 / 0806 312 1270	58 Lagos Road, Opp. UBA, Ikorodu	Ikorodu	Verified	Verified from published directory
Makinga Pharmacy (Ikorodu)	Retail	0803 628 0477 / 0706 704 6404	4 Alhaja Alagogo Street, Ikorodu	Ikorodu	Verified	Verified from published directory
Mapic Pharmacy	Retail	0805 601 8800	73 Ireshe Street	Ikorodu	Phone on record	
Marson Pharmacy	Retail	0802 971 7376	9 Ishawo Road, Agric Bus stop, Ikorodu	Ikorodu	Verified	Verified from published directory
Med Arena Pharmacy	Retail	0802 118 0855	Agbede, Ikorodu	Ikorodu	Verified	Verified from published directory
Paupix Pharmacy	Retail	Not listed	16 Alison Street, Ojubode Bus stop, Ikorodu	Ikorodu	Needs phone verification	
Prinogold Pharmacy	Retail	0809 680 1464	1 Adeola Street, Off Fela Ahmed, Agric Bus stop, Ikorodu	Ikorodu	Verified	Verified from published directory
Setz Pharmacy (Ikorodu)	Retail	0909 826 5715	139 Ijede Road, Off St. Raphael Catholic Hospital, Ikorodu	Ikorodu	Verified	Verified from published directory
Steady Care Pharmacy	Retail	0803 328 8827	Tipper Garage, Offin/Oreta Road, Igbogbo, Ikorodu	Ikorodu	Verified	Verified from published directory
Sybarmedics Pharmacy	Retail	Not listed	Agbede Olorogbo Junction, Off Isawo Road, Agric, Ikorodu	Ikorodu	Needs phone verification	
T & K Pharmacy	Retail	0803 378 7143	Agbaje Bus Stop, Enwuen Road, Ikorodu	Ikorodu	Verified	Verified from published directory
T.T. Robinson Pharmacy	Retail	0806 080 0062	79 Odonla Road, Ikorodu	Ikorodu	Verified	Verified from published directory
Telson Pharmacy	Retail	0806 904 5133	159 Ishawo Road, Agric Bus stop, Ikorodu	Ikorodu	Verified	Verified from published directory
Urocheck Pharmacy	Retail	0813 021 0092	TJ Bus stop, Agbede, Ikorodu	Ikorodu	Verified	Verified from published directory
Wecare Pharmacy	Retail	0814 891 2955	Prince of Peace Shopping Plaza, 300 Ikorodu-Shagamu Road, Ikorodu	Ikorodu	Verified	Verified from published directory
Winlot Pharmacy	Retail	0804 004 6182	Ijede Road, Eleshin, Ikorodu	Ikorodu	Verified	Verified from published directory
ExC Pharmacy Ikota, Lekki	Retail	+234 707 838 9227	6B Francis Ojei Street, Chevron Alternative Road	Ikota	Phone on record	
Medplus Pharmacy - Ikota	Chain Retail	0905 388 7571	Lekki-Epe Expressway, opposite Mega Chicken	Ikota	Verified	Verified - Phone found
Health Maps Pharmacy	Retail	Not listed	1 Adekunjo Street, opposite Synagogue Church, Ikotun	Ikotun	Needs phone verification	
Jaybee Pharmacy	Retail	Not listed	65 Idimu Road, College Bus stop, Ikotun	Ikotun	Needs phone verification	
PeaceWay Pharmacy	Retail	0808 567 5123	3 Igando Road, Ikotun	Ikotun	Verified	Verified from published directory
Prinsa Healthcare	Retail	Not listed	6 Ayeni Street, Off Layi Haruna Street, Governor's Road, Ikotun	Ikotun	Needs phone verification	
Riyi Pharmacy	Retail	Not listed	35 El-Bethel Church Street, Lawal Bus stop, Governor's Road, Ikotun	Ikotun	Needs phone verification	
Afripharm Multiscience Co. Ltd	Retail	Not listed	15 Kingsway Road, Ikoyi	Ikoyi	Needs phone verification	
Carlisle Pharm. & Chem. Co. Ltd	Retail	Not listed	19 Ribadu Road, South West, Ikoyi	Ikoyi	Needs phone verification	
Chemart Pharmacy	Retail Pharmacy	0818 205 9355	2 Olawale Dawodu Street (Former Webb Road)	Ikoyi	Phone on record	
Chemart Pharmacy - Ikoyi	Retail	0818 205 9355	7/12 Rumens Road, Off Alfred Rewane Road, Ikoyi	Ikoyi	Verified	Verified - Phone & address updated
Chyzob Pharmacy Limited	Retail Pharmacy	0802 835 6250, 0813 104 8008, 0817 000 1325	168 Awoniyi Road	Ikoyi	Phone on record	
Commark Pharm. Ventures Ltd	Retail	Not listed	Shop 60, LSDPC, Corporation Drive, Ikoyi	Ikoyi	Needs phone verification	
Curemed Pharmacy Ltd	Retail	Not listed	31 Keffi Street, By Norman William Street, S/W Ikoyi	Ikoyi	Needs phone verification	
Danisam Pharm. Ltd	Retail	Not listed	11 Nojeem Maiyegun Road, Obalende, Ikoyi	Ikoyi	Needs phone verification	
Elbe Pharm. Nig. Ltd	Retail	Not listed	4 Akanbi Danmola Street, Ikoyi	Ikoyi	Needs phone verification	
Executive Pharm. Chemists	Retail	Not listed	B2 Falomo Shopping Centre, Ikoyi	Ikoyi	Needs phone verification	
Hess Pharmacy	Retail	Not listed	130 Awolowo Road, Ikoyi	Ikoyi	Needs phone verification	
Lasucre Pharmacy & Store	Retail	+234 915 323 6728	30 King George Road	Ikoyi	Phone on record	
Medplus Pharmacy- Ikoyi	Retail Chain	+234 915 259 2953	168 Awoniyi Road	Ikoyi	Phone on record	Confirmed
Menbon Pharmacy	Retail	Not listed	37C Raymond Njoku Street, Ikoyi	Ikoyi	Needs phone verification	
Nina-Adonai Pharmacy	Retail	Not listed	Shop 10 Ikeja Way, Dolphin Estate, Ikoyi	Ikoyi	Needs phone verification	
Panvij Biotec Nig. LTD.	Retail	Not listed	15 Biaduo Street, off Keffi Street, S/W Ikoyi	Ikoyi	Needs phone verification	
Pearle Pharmacy	Retail	Not listed	32 Ajeniya Street, off Obalende, Ikoyi	Ikoyi	Needs phone verification	
All Gates Pharmacy	Retail	0803 549 5128	Shop 20/21 Jonwo Plaza, Ilupeju	Ilupeju	Verified	Verified from published directory
Assure Pharmacy	Retail	0803 717 3626	7 Adeshida Street, Ilupeju	Ilupeju	Verified	Verified from published directory
Clarion Medicals Ltd	Retail Pharmacy	0809 014 9999, 0816 644 4393	23 Afolabi Lesi Street, Off Town Planning Way	Ilupeju	Phone on record	
Greenlife Pharmaceuticals Ltd	Distributor / Pharmacy	0704 618 3350, 0704 618 3353	2 Bank Lane, Town Planning	Ilupeju	Phone on record	
Jathom Pharmacy	Retail	0814 124 4164	78 Shyllon Street, Palmgrove, Ilupeju	Ilupeju	Verified	Verified from published directory
Lifestores Pharmacy	Retail Pharmacy	0905 909 1484, 0909 030 7612	46 Coker Road	Ilupeju	Phone on record	
Orange Drugs Limited	Manufacturer / Distributor	0702 799 8947, 0702 799 8993, 0709 814 7939	66/68 Town Planning Way	Ilupeju	Phone on record	
Superdrug Integrated Pharmacy	Retail Pharmacy	0803 077 6767, 0908 026 7284	30 Ilupeju Bypass, Heyden Filling Station	Ilupeju	Phone on record	
Theodor Pharmacy	Retail Pharmacy	0706 663 0119	13 Association Avenue	Ilupeju	Phone on record	
Toogun Pharmacy	Retail	0818 000 1995	21 Esther Oshiyemi Street, Ilupeju	Ilupeju	Verified	Verified from published directory
Abincare Pharmacy	Retail	0818 337 8666	2 Ikola Road, Off Command Road, Ipaja	Ipaja	Verified	Verified from published directory
Ajib Pharmacy	Retail	0803 225 4426	12A Command Road, Command	Ipaja	Verified	Verified from published directory
Bonamour Pharmacy	Retail	0809 512 7000	23 Baruwa Road, Baruwa, Ipaja	Ipaja	Verified	Verified from published directory
De-Omega Healthcare	Retail	0803 596 3349	7 Church Street, Akinogun Bus stop, Shagari Estate, Ipaja	Ipaja	Verified	Verified from published directory
Joekem Pharmacy	Retail	Not listed	234 Ipaja-Ayobo Road, Opebi Bus stop, Ipaja	Ipaja	Needs phone verification	
Joekem Pharmacy (Ipaja)	Retail	0803 447 2707	Church Bus stop, Ipaja Road, Ipaja	Ipaja	Verified	Verified from published directory
Joelad Pharmacy	Retail	Not listed	203 Abule-Egun Bus stop, Ipaja Road, Ipaja	Ipaja	Needs phone verification	
Lanbib Pharmacy	Retail	Not listed	Block 331, Flat 1, Abasan Estate, Ipaja	Ipaja	Needs phone verification	
Mascot Pharmacy	Retail	Not listed	1 Monilari Close, Shagari Estate, Ipaja	Ipaja	Needs phone verification	
Medgreens Pharmacy	Retail	0708 230 0349	1 Command Road, Command, Ipaja	Ipaja	Verified	Verified from published directory
Olive Manex Pharmacy	Retail	0802 220 4312 / 0703 805 4422	1 Kareem Bankole Street, Off Candos Road, Baruwa	Ipaja	Verified	Verified from published directory
Olivemanex Pharmacy	Retail	Not listed	1 Karim Bankole Street, Ipaja	Ipaja	Needs phone verification	
Ufot-MfonSe Pharmacy	Retail	Not listed	142 Ayobo Road, Ipaja	Ipaja	Needs phone verification	
A F Uchenna Pharmacy	Retail	0802 545 0757	6 Aderinto Street, Isolo	Isolo	Verified	Verified from published directory
A.F. Uchenna Pharmacy Ltd	Retail	0802 545 0757	6 Aderinto Street, Isolo	Isolo	Verified	Verified from published directory
Akugbe Pharmacy & Stores Ltd	Retail	Not listed	2 Olufemi Kolawole Street, Okota, Isolo	Isolo	Needs phone verification	
Bandar Pharm. Ltd	Retail	Not listed	1A Coker Road, Ejigbo, Isolo	Isolo	Needs phone verification	
Beyiscon Nig. Ltd	Retail	Not listed	129 Okota Road, Isolo	Isolo	Needs phone verification	
Biggs Pharm. Ltd	Retail	Not listed	9 Lateef Salami Street, Ajao Estate, Isolo	Isolo	Needs phone verification	
CHI Pharmaceuticals	Manufacturer/Distributor	+234 1 452 0629 / 0803 715 0506	14 Chivita Avenue, Ajao Estate, Isolo, Lagos	Isolo	Verified	Verified from published directory
Chriswill Pharmaceutical Co. Ltd	Retail	Not listed	2 Muyili Oshode Street, Ejigbo	Isolo	Needs phone verification	
Chymasen Pharmacy Nig. Ltd	Retail	Not listed	2 Taiwo Street, Okota, Ago Palace Way, Okota	Isolo	Needs phone verification	
De Japhson Pharmacy Ltd	Retail	Not listed	40/42 Ago Palace Way, Okota, Isolo	Isolo	Needs phone verification	
E'Dote Pharmaceutical Nig. Ltd	Retail	Not listed	34 Okeho Street, Ire Akari Estate, Isolo	Isolo	Needs phone verification	
Ezeyisi & Sons Pharmacy Ltd	Retail	Not listed	27B Okota Palace Way, Okota	Isolo	Needs phone verification	
James Adile Pharm. Nig Ltd	Retail	Not listed	304 Mushin Road, Isolo	Isolo	Needs phone verification	
Kings Chemist & Cosmetics	Retail	Not listed	54 Okota Palace Way, Isolo	Isolo	Needs phone verification	
Lanyard Pharmacy & Stores Ltd	Retail	Not listed	63 Palace Way, Okota, Isolo	Isolo	Needs phone verification	
Marvel Pharm. Co. Ltd	Retail	Not listed	61/63 Falana Street, Ejigbo	Isolo	Needs phone verification	
Medmark Limited (Ajao)	Retail	Not listed	29 M.M. Airport Road, Ajao Estate, Isolo	Isolo	Needs phone verification	
Medreich Nig. LTD.	Retail	Not listed	11 Enoma Street, off Ago-Palace Way, Okota	Isolo	Needs phone verification	
Nesco Pharm. Co. LTD.	Retail	Not listed	Shop 3/4 L.C.H.E. Oke-Afa, Isolo	Isolo	Needs phone verification	
Palm Pharmacy	Retail	Not listed	22 Akinbaye Street, Isolo	Isolo	Needs phone verification	
Prime Pharm. LTD.	Retail	Not listed	7 Ire Akari Estate Road, Isolo	Isolo	Needs phone verification	
Prodrug Pharmacy	Retail	0805 612 5213	7B Asa Afariogun Street, Ajao Estate, Off International Airport Road	Isolo	Phone on record	
Shepherd Food & Pharm. Ind. Ltd	Retail	Not listed	2 Dorishamu Close, Okota, Isolo	Isolo	Needs phone verification	
Spring Forth Pharmacy	Retail	0802 306 0747	34 Alhaja Adenekan Street, Oke Afa, Isolo	Isolo	Verified	Verified from published directory
Stella-Charles Pharm & Stores Ltd	Retail	Not listed	45A Okota Road, Isolo	Isolo	Needs phone verification	
Torrent Pharmacy	Retail	0806 025 7252	26 Goloba Street, Isolo	Isolo	Verified	Verified from published directory
Turmeric Pharmacy	Retail	0818 298 9540	41 Ire Akari Estate Road	Isolo	Phone on record	
Welnex Pharmacy	Retail	0703 211 2589	7 Isolo Road, Jakande Estate, Isolo	Isolo	Verified	Verified from published directory
Pill Box Pharmacy	Retail	0803 377 2943	4 Olumo Street, Onike	Iwaya	Phone on record	
Egomore Pharmacy	Retail	Not listed	1 Oyiba Drive, Iba, Iyana Iba	Iyana Iba	Needs phone verification	
St. Jude Pharmacy	Retail	Not listed	81 Ojo-Igbede Road, Iba, Iyana Iba	Iyana Iba	Needs phone verification	
Domec United Pharmacy	Retail	Not listed	Iyana Ipaja Garage, Iyana Ipaja	Iyana Ipaja	Needs phone verification	
Medstar Pharmacy	Retail	0812 216 3556	1A Hussey Road	Jibowu	Phone on record	
Teemcare Pharmacy	Retail	0809 813 7516	34/36 Ikorodu Road	Jibowu	Phone on record	
Amexco Pharmacy	Retail	0813 440 1031	1 Ikosi Road, Ketu	Ketu	Verified	Verified from published directory
Chizzy Pharmacy	Retail	0813 827 7916	18 Ikosi Road, Ketu	Ketu	Verified	Verified from published directory
Divine Chemist (Ketu 2)	Retail	0814 167 4678	16 Adebayo Street, Ketu	Ketu	Verified	Verified from published directory
Divine Chemist (Ketu)	Retail	0816 055 1714	2 Owodunni Street, Ikosi, Ketu	Ketu	Verified	Verified from published directory
Gally Pharmacy	Retail	Not listed	98 Demurin Street, Alapere, Ketu	Ketu	Needs phone verification	
Gocrest Pharmacy	Retail	Not listed	26 Agidi Road, Opposite CAC Church, Iyakan Bus-stop, Alapere, Ketu	Ketu	Needs phone verification	
Goodcare Pharmacy	Retail	0806 080 0062	500 Ikorodu Road, Ketu	Ketu	Verified	Verified from published directory
Herbinco Pharmacy (Ketu)	Retail	0807 407 9805	28 Demurin Street, Ketu	Ketu	Verified	Verified from published directory
Ifex Pharmacy	Retail	0708 488 0430	1 Okunowo Street, Ikosi Ketu	Ketu	Verified	Verified from published directory
Kaften Flash Pharmacy	Retail	Not listed	37 Kazeem Street, Alapere, Ketu	Ketu	Needs phone verification	
Makinga Pharmacy (Ketu)	Retail	0706 124 4076	3 Dele Okuwa Street, Ikosi, Ketu	Ketu	Verified	Verified from published directory
Patvics Pharmacy	Retail	0818 566 6323	603 Ikorodu Road, Mile 12, Ketu	Ketu	Verified	Verified from published directory
Sera Pharmacy	Retail	0803 726 4168 / 0808 624 9926	2A Doyin Omololu Road, Off Demurin Street, Ketu-Alapere	Ketu	Verified	Verified from published directory
St. Peters & Paul's Pharmacy	Retail	0816 606 7735	15 Elejibu Street, Ketu	Ketu	Verified	Verified from published directory
Afonchies Pharmaceuticals Limited	Retail Pharmacy	0705 449 2940	Shop 6, Ganiyi Daudu Street, Abraham Adesanya Estate, Lekki-Epe Expressway	Lagos	Phone on record	
Anne Pharmacy Store	Retail	0805 805 2314	35 Post Office Road, Onipanu	Lagos	Phone on record	
Arowolo Pharmacy	Retail	0802 136 3342, 0802 911 0894	7 Isheri Road, Idimu	Lagos	Phone on record	
Beneze Pharmacy Limited	Retail	0706 703 5990, 0803 715 5854	4 Demurin Street, Ketu	Lagos	Phone on record	
Dana Drugs Limited	Manufacturer	01 773 0054, 0802 776 7777	KM 4 Apapa-Oshodi Expressway, Ijesha	Lagos	Phone on record	
Drugstore.ng (Online)	Online Pharmacy	0907 977 2482	Lagos (Delivery statewide)	Lagos	Verified	Verified from published directory
Enavec Pharmacy	Retail Community Pharmacy	0706 835 7391	26, 4th Avenue, Festac Town	Lagos	Phone on record	
Frank-Chuks Pharmacy Ltd	Retail	0706 921 2733	2A Oseni Street, Iyana-Iba	Lagos	Phone on record	
HealthServe Pharmacy	Retail	No public number on record	4 Ladipo Adeyemi Street, Anthony Village	Lagos	Needs phone verification	
Healthy Child Pharmacy	Retail	0808 035 6154 / 0818 780 9366	462, 5th Avenue, Gowon Estate, Egbeda	Lagos	Verified	Verified - Phone & address updated
Help Pharmacy	Retail	No public number on record	145/147 Ago Palace Way, Okota	Lagos	Needs phone verification	
Healthy Pulse Pharmacy Ltd	Retail	No public number on record	346 Herbert Macaulay Way	Yaba	Needs phone verification	
Kasville Pharmacy	Retail	0810 454 2510	22 Montgomery Road	Yaba	Phone on record	
Lexicon Pharmacy & Supermarket	Retail	0702 938 9149	6 Iwaya Road, Onike, Yaba	Yaba	Verified	Verified from published directory
Livewell Pharmacy	Retail	No public number on record	Yaba	Yaba	Needs phone verification	
Medlounge Pharmacy	Retail	Not listed	285 Herbert Macaulay Way, Yaba	Yaba	Needs phone verification	
Metromeds Pharmacy Limited	Retail	0817 283 6273	6 Queens Street Casino, Off Herbert Macaulay Way	Yaba	Phone on record	
Okolowhite Pharmacy	Retail	0803 321 7034	41A Commercial Avenue, Sabo	Yaba	Verified	Verified from published directory
Omowunmi Titilayo Pharmacy	Retail	0802 594 3727	371 Borno Way, Alagomeji	Yaba	Phone on record	
Pharma Solutions	Retail / Medical Supplies	0809 111 1608, 0809 111 1908, 0810 493 1060	25 Montgomery Road, Off Herbert Macaulay Way	Yaba	Phone on record	
Pharmasolution Pharmacy	Retail	0703 037 4411	28 Commercial Avenue, Yaba	Yaba	Verified	Verified from published directory
Pill Box Pharmacy (Yaba)	Retail	0706 119 0149	5 Olumo Street, Onike, Yaba	Yaba	Verified	Verified from published directory
Remey Pharmacy	Retail	0803 325 7114	Tanimo Street, Off Ikorodu Road, Fadeyi Bus stop	Yaba	Verified	Verified from published directory
Reneca Pharmacy	Retail	0809 759 2042	17 Mosuro Street, Abule Oja, Yaba	Yaba	Verified	Verified from published directory
Robson Pharmacy	Retail	Not listed	Sanyaolu Street, Akoka	Yaba	Needs phone verification	
Sheba Pharmacy	Retail	0704 949 0853	32B Yaba Tech Staff Quarters, Aggrey Road, GRA	Yaba	Phone on record	
